korean,latin,transcription
가,ga,kɐ
각,gag,kɐk
갂,gagg,kɐk͈
갃,gags,kɐks
간,gan,kɐn
갅,ganj,kɐnɟ
갆,ganh,kɐnh
갇,gad,kɐt
갈,gal,kɐɾ
갉,galg,kɐlg
갊,galm,kɐlm
갋,galb,kɐlb
갌,gals,kɐls
갍,galt,kɐltʰ
갎,galp,kɐlpʰ
갏,galh,kɐlh
감,gam,kɐm
갑,gab,kɐp
값,gabs,kɐps
갓,gas,kɐs
갔,gass,kɐs͈
강,gang,kɐŋ
갖,gaj,kɐt͡ɕ
갗,gach,kɐt͡ɕʰ
갘,gak,kɐkʰ
같,gat,kɐtʰ
갚,gap,kɐpʰ
갛,gah,kɐh
개,gae,kɛ
객,gaeg,kɛk
갞,gaegg,kɛk͈
갟,gaegs,kɛks
갠,gaen,kɛn
갡,gaenj,kɛnɟ
갢,gaenh,kɛnh
갣,gaed,kɛt
갤,gael,kɛɾ
갥,gaelg,kɛlg
갦,gaelm,kɛlm
갧,gaelb,kɛlb
갨,gaels,kɛls
갩,gaelt,kɛltʰ
갪,gaelp,kɛlpʰ
갫,gaelh,kɛlh
갬,gaem,kɛm
갭,gaeb,kɛp
갮,gaebs,kɛps
갯,gaes,kɛs
갰,gaess,kɛs͈
갱,gaeng,kɛŋ
갲,gaej,kɛt͡ɕ
갳,gaech,kɛt͡ɕʰ
갴,gaek,kɛkʰ
갵,gaet,kɛtʰ
갶,gaep,kɛpʰ
갷,gaeh,kɛh
갸,gya,kjɐ
갹,gyag,kjɐk
갺,gyagg,kjɐk͈
갻,gyags,kjɐks
갼,gyan,kjɐn
갽,gyanj,kjɐnɟ
갾,gyanh,kjɐnh
갿,gyad,kjɐt
걀,gyal,kjɐɾ
걁,gyalg,kjɐlg
걂,gyalm,kjɐlm
걃,gyalb,kjɐlb
걄,gyals,kjɐls
걅,gyalt,kjɐltʰ
걆,gyalp,kjɐlpʰ
걇,gyalh,kjɐlh
걈,gyam,kjɐm
걉,gyab,kjɐp
걊,gyabs,kjɐps
걋,gyas,kjɐs
걌,gyass,kjɐs͈
걍,gyang,kjɐŋ
걎,gyaj,kjɐt͡ɕ
걏,gyach,kjɐt͡ɕʰ
걐,gyak,kjɐkʰ
걑,gyat,kjɐtʰ
걒,gyap,kjɐpʰ
걓,gyah,kjɐh
걔,gyae,kjɛ
걕,gyaeg,kjɛk
걖,gyaegg,kjɛk͈
걗,gyaegs,kjɛks
걘,gyaen,kjɛn
걙,gyaenj,kjɛnɟ
걚,gyaenh,kjɛnh
걛,gyaed,kjɛt
걜,gyael,kjɛɾ
걝,gyaelg,kjɛlg
걞,gyaelm,kjɛlm
걟,gyaelb,kjɛlb
걠,gyaels,kjɛls
걡,gyaelt,kjɛltʰ
걢,gyaelp,kjɛlpʰ
걣,gyaelh,kjɛlh
걤,gyaem,kjɛm
걥,gyaeb,kjɛp
걦,gyaebs,kjɛps
걧,gyaes,kjɛs
걨,gyaess,kjɛs͈
걩,gyaeng,kjɛŋ
걪,gyaej,kjɛt͡ɕ
걫,gyaech,kjɛt͡ɕʰ
걬,gyaek,kjɛkʰ
걭,gyaet,kjɛtʰ
걮,gyaep,kjɛpʰ
걯,gyaeh,kjɛh
거,geo,kʌ
걱,geog,kʌk
걲,geogg,kʌk͈
걳,geogs,kʌks
건,geon,kʌn
걵,geonj,kʌnɟ
걶,geonh,kʌnh
걷,geod,kʌt
걸,geol,kʌɾ
걹,geolg,kʌlg
걺,geolm,kʌlm
걻,geolb,kʌlb
걼,geols,kʌls
걽,geolt,kʌltʰ
걾,geolp,kʌlpʰ
걿,geolh,kʌlh
검,geom,kʌm
겁,geob,kʌp
겂,geobs,kʌps
것,geos,kʌs
겄,geoss,kʌs͈
겅,geong,kʌŋ
겆,geoj,kʌt͡ɕ
겇,geoch,kʌt͡ɕʰ
겈,geok,kʌkʰ
겉,geot,kʌtʰ
겊,geop,kʌpʰ
겋,geoh,kʌh
게,ge,ke
겍,geg,kek
겎,gegg,kek͈
겏,gegs,keks
겐,gen,ken
겑,genj,kenɟ
겒,genh,kenh
겓,ged,ket
겔,gel,keɾ
겕,gelg,kelg
겖,gelm,kelm
겗,gelb,kelb
겘,gels,kels
겙,gelt,keltʰ
겚,gelp,kelpʰ
겛,gelh,kelh
겜,gem,kem
겝,geb,kep
겞,gebs,keps
겟,ges,kes
겠,gess,kes͈
겡,geng,keŋ
겢,gej,ket͡ɕ
겣,gech,ket͡ɕʰ
겤,gek,kekʰ
겥,get,ketʰ
겦,gep,kepʰ
겧,geh,keh
겨,gyeo,kjʌ
격,gyeog,kjʌk
겪,gyeogg,kjʌk͈
겫,gyeogs,kjʌks
견,gyeon,kjʌn
겭,gyeonj,kjʌnɟ
겮,gyeonh,kjʌnh
겯,gyeod,kjʌt
결,gyeol,kjʌɾ
겱,gyeolg,kjʌlg
겲,gyeolm,kjʌlm
겳,gyeolb,kjʌlb
겴,gyeols,kjʌls
겵,gyeolt,kjʌltʰ
겶,gyeolp,kjʌlpʰ
겷,gyeolh,kjʌlh
겸,gyeom,kjʌm
겹,gyeob,kjʌp
겺,gyeobs,kjʌps
겻,gyeos,kjʌs
겼,gyeoss,kjʌs͈
경,gyeong,kjʌŋ
겾,gyeoj,kjʌt͡ɕ
겿,gyeoch,kjʌt͡ɕʰ
곀,gyeok,kjʌkʰ
곁,gyeot,kjʌtʰ
곂,gyeop,kjʌpʰ
곃,gyeoh,kjʌh
계,gye,kje
곅,gyeg,kjek
곆,gyegg,kjek͈
곇,gyegs,kjeks
곈,gyen,kjen
곉,gyenj,kjenɟ
곊,gyenh,kjenh
곋,gyed,kjet
곌,gyel,kjeɾ
곍,gyelg,kjelg
곎,gyelm,kjelm
곏,gyelb,kjelb
곐,gyels,kjels
곑,gyelt,kjeltʰ
곒,gyelp,kjelpʰ
곓,gyelh,kjelh
곔,gyem,kjem
곕,gyeb,kjep
곖,gyebs,kjeps
곗,gyes,kjes
곘,gyess,kjes͈
곙,gyeng,kjeŋ
곚,gyej,kjet͡ɕ
곛,gyech,kjet͡ɕʰ
곜,gyek,kjekʰ
곝,gyet,kjetʰ
곞,gyep,kjepʰ
곟,gyeh,kjeh
고,go,ko
곡,gog,kok
곢,gogg,kok͈
곣,gogs,koks
곤,gon,kon
곥,gonj,konɟ
곦,gonh,konh
곧,god,kot
골,gol,koɾ
곩,golg,kolg
곪,golm,kolm
곫,golb,kolb
곬,gols,kols
곭,golt,koltʰ
곮,golp,kolpʰ
곯,golh,kolh
곰,gom,kom
곱,gob,kop
곲,gobs,kops
곳,gos,kos
곴,goss,kos͈
공,gong,koŋ
곶,goj,kot͡ɕ
곷,goch,kot͡ɕʰ
곸,gok,kokʰ
곹,got,kotʰ
곺,gop,kopʰ
곻,goh,koh
과,gwa,kwɐ
곽,gwag,kwɐk
곾,gwagg,kwɐk͈
곿,gwags,kwɐks
관,gwan,kwɐn
괁,gwanj,kwɐnɟ
괂,gwanh,kwɐnh
괃,gwad,kwɐt
괄,gwal,kwɐɾ
괅,gwalg,kwɐlg
괆,gwalm,kwɐlm
괇,gwalb,kwɐlb
괈,gwals,kwɐls
괉,gwalt,kwɐltʰ
괊,gwalp,kwɐlpʰ
괋,gwalh,kwɐlh
괌,gwam,kwɐm
괍,gwab,kwɐp
괎,gwabs,kwɐps
괏,gwas,kwɐs
괐,gwass,kwɐs͈
광,gwang,kwɐŋ
괒,gwaj,kwɐt͡ɕ
괓,gwach,kwɐt͡ɕʰ
괔,gwak,kwɐkʰ
괕,gwat,kwɐtʰ
괖,gwap,kwɐpʰ
괗,gwah,kwɐh
괘,gwae,kwɛ
괙,gwaeg,kwɛk
괚,gwaegg,kwɛk͈
괛,gwaegs,kwɛks
괜,gwaen,kwɛn
괝,gwaenj,kwɛnɟ
괞,gwaenh,kwɛnh
괟,gwaed,kwɛt
괠,gwael,kwɛɾ
괡,gwaelg,kwɛlg
괢,gwaelm,kwɛlm
괣,gwaelb,kwɛlb
괤,gwaels,kwɛls
괥,gwaelt,kwɛltʰ
괦,gwaelp,kwɛlpʰ
괧,gwaelh,kwɛlh
괨,gwaem,kwɛm
괩,gwaeb,kwɛp
괪,gwaebs,kwɛps
괫,gwaes,kwɛs
괬,gwaess,kwɛs͈
괭,gwaeng,kwɛŋ
괮,gwaej,kwɛt͡ɕ
괯,gwaech,kwɛt͡ɕʰ
괰,gwaek,kwɛkʰ
괱,gwaet,kwɛtʰ
괲,gwaep,kwɛpʰ
괳,gwaeh,kwɛh
괴,goe,kwe
괵,goeg,kwek
괶,goegg,kwek͈
괷,goegs,kweks
괸,goen,kwen
괹,goenj,kwenɟ
괺,goenh,kwenh
괻,goed,kwet
괼,goel,kweɾ
괽,goelg,kwelg
괾,goelm,kwelm
괿,goelb,kwelb
굀,goels,kwels
굁,goelt,kweltʰ
굂,goelp,kwelpʰ
굃,goelh,kwelh
굄,goem,kwem
굅,goeb,kwep
굆,goebs,kweps
굇,goes,kwes
굈,goess,kwes͈
굉,goeng,kweŋ
굊,goej,kwet͡ɕ
굋,goech,kwet͡ɕʰ
굌,goek,kwekʰ
굍,goet,kwetʰ
굎,goep,kwepʰ
굏,goeh,kweh
교,gyo,kjo
굑,gyog,kjok
굒,gyogg,kjok͈
굓,gyogs,kjoks
굔,gyon,kjon
굕,gyonj,kjonɟ
굖,gyonh,kjonh
굗,gyod,kjot
굘,gyol,kjoɾ
굙,gyolg,kjolg
굚,gyolm,kjolm
굛,gyolb,kjolb
굜,gyols,kjols
굝,gyolt,kjoltʰ
굞,gyolp,kjolpʰ
굟,gyolh,kjolh
굠,gyom,kjom
굡,gyob,kjop
굢,gyobs,kjops
굣,gyos,kjos
굤,gyoss,kjos͈
굥,gyong,kjoŋ
굦,gyoj,kjot͡ɕ
굧,gyoch,kjot͡ɕʰ
굨,gyok,kjokʰ
굩,gyot,kjotʰ
굪,gyop,kjopʰ
굫,gyoh,kjoh
구,gu,ku
국,gug,kuk
굮,gugg,kuk͈
굯,gugs,kuks
군,gun,kun
굱,gunj,kunɟ
굲,gunh,kunh
굳,gud,kut
굴,gul,kuɾ
굵,gulg,kulg
굶,gulm,kulm
굷,gulb,kulb
굸,guls,kuls
굹,gult,kultʰ
굺,gulp,kulpʰ
굻,gulh,kulh
굼,gum,kum
굽,gub,kup
굾,gubs,kups
굿,gus,kus
궀,guss,kus͈
궁,gung,kuŋ
궂,guj,kut͡ɕ
궃,guch,kut͡ɕʰ
궄,guk,kukʰ
궅,gut,kutʰ
궆,gup,kupʰ
궇,guh,kuh
궈,gweo,kwʌ
궉,gweog,kwʌk
궊,gweogg,kwʌk͈
궋,gweogs,kwʌks
권,gweon,kwʌn
궍,gweonj,kwʌnɟ
궎,gweonh,kwʌnh
궏,gweod,kwʌt
궐,gweol,kwʌɾ
궑,gweolg,kwʌlg
궒,gweolm,kwʌlm
궓,gweolb,kwʌlb
궔,gweols,kwʌls
궕,gweolt,kwʌltʰ
